date,open,high,low,close,volume
2015-02-02 09:15:00,244.63,246.0,244.47,244.8,621769
2015-02-02 09:30:00,244.8,245.3,243.33,243.73,307044
2015-02-02 09:45:00,243.7,244.23,243.1,243.73,232992
2015-02-02 10:00:00,243.77,244.17,243.57,243.7,120001
2015-02-02 10:15:00,243.73,243.87,243.4,243.57,100758
2015-02-02 10:30:00,243.57,243.57,242.43,242.77,254823
2015-02-02 10:45:00,242.77,243.2,242.4,242.67,163557
2015-02-02 11:00:00,242.67,242.9,242.43,242.63,85296
2015-02-02 11:15:00,242.63,242.67,242.23,242.43,124272
2015-02-02 11:30:00,242.37,242.47,241.07,241.27,254558
2015-02-02 11:45:00,241.27,241.9,241.1,241.47,147937
2015-02-02 12:00:00,241.47,241.9,241.07,241.77,147156
2015-02-02 12:15:00,241.77,241.77,240.2,240.57,493897
2015-02-02 12:30:00,240.57,241.5,240.47,240.63,389729
2015-02-02 12:45:00,240.67,240.77,240.23,240.4,258860
2015-02-02 13:00:00,240.4,241.8,240.4,241.07,290592
2015-02-02 13:15:00,240.97,241.17,240.43,240.93,364162
2015-02-02 13:30:00,240.7,242.33,240.47,241.8,996407
2015-02-02 13:45:00,241.9,242.33,240.63,240.73,483790
2015-02-02 14:00:00,240.67,241.7,240.67,241.17,307372
2015-02-02 14:15:00,241.17,241.33,240.77,240.8,396279
2015-02-02 14:30:00,240.8,241.13,240.47,240.6,349869
2015-02-02 14:45:00,240.67,240.67,240.0,240.13,334985
2015-02-02 15:00:00,240.17,240.73,240.17,240.5,621830
2015-02-02 15:15:00,240.5,241.0,239.6,240.57,632270
2015-02-03 09:15:00,241.1,242.67,241.1,242.63,631757
2015-02-03 09:30:00,242.63,242.97,242.43,242.53,253880
2015-02-03 09:45:00,242.53,242.67,242.4,242.57,185054
2015-02-03 10:00:00,242.57,243.2,242.5,242.87,185071
2015-02-03 10:15:00,242.87,243.2,242.57,242.93,159676
2015-02-03 10:30:00,242.93,243.2,242.77,243.0,112261
2015-02-03 10:45:00,243.0,243.47,242.83,243.47,215322
2015-02-03 11:00:00,243.53,244.0,242.17,243.73,1124893
2015-02-03 11:15:00,243.77,244.0,243.1,243.9,177731
2015-02-03 11:30:00,243.83,243.83,242.97,243.1,197424
2015-02-03 11:45:00,243.1,243.17,241.53,241.6,230498
2015-02-03 12:00:00,241.53,242.17,241.2,241.87,160378
2015-02-03 12:15:00,241.87,243.17,241.73,243.1,253252
2015-02-03 12:30:00,243.13,243.33,242.23,243.3,173780
2015-02-03 12:45:00,243.3,243.33,242.6,242.9,159980
2015-02-03 13:00:00,242.93,243.17,242.07,242.27,108668
2015-02-03 13:15:00,242.27,242.7,242.23,242.57,107331
2015-02-03 13:30:00,242.57,243.17,242.2,243.07,99554
2015-02-03 13:45:00,243.07,244.3,242.9,243.8,291493
2015-02-03 14:00:00,243.8,244.67,243.3,243.33,218018
2015-02-03 14:15:00,243.33,243.93,243.3,243.8,105658
2015-02-03 14:30:00,243.87,243.97,243.27,243.67,187346
2015-02-03 14:45:00,243.67,244.5,243.6,244.27,125083
2015-02-03 15:00:00,244.23,244.67,243.73,244.0,342673
2015-02-03 15:15:00,244.0,244.27,243.3,243.77,481269
2015-02-04 09:15:00,244.7,246.97,244.6,246.13,840824
2015-02-04 09:30:00,246.1,246.1,245.2,245.27,370493
2015-02-04 09:45:00,245.27,245.67,245.2,245.47,294263
2015-02-04 10:00:00,245.5,245.83,245.13,245.3,225169
2015-02-04 10:15:00,245.3,245.67,245.3,245.5,200723
2015-02-04 10:30:00,245.5,245.53,243.77,244.2,204036
2015-02-04 10:45:00,244.2,244.67,243.57,244.53,141735
2015-02-04 11:00:00,244.53,244.97,244.47,244.73,165805
2015-02-04 11:15:00,244.73,245.33,244.63,245.03,135139
2015-02-04 11:30:00,245.07,245.83,244.97,245.1,171158
2015-02-04 11:45:00,245.1,245.8,244.9,245.63,153241
2015-02-04 12:00:00,245.7,245.8,245.33,245.57,165789
2015-02-04 12:15:00,245.57,245.8,245.37,245.6,114093
2015-02-04 12:30:00,245.6,245.87,244.67,244.9,120647
2015-02-04 12:45:00,244.97,245.3,244.87,245.0,89184
2015-02-04 13:00:00,245.1,246.0,244.93,245.67,186453
2015-02-04 13:15:00,245.67,245.87,245.0,245.7,122233
2015-02-04 13:30:00,245.7,246.3,245.4,246.3,190297
2015-02-04 13:45:00,246.27,246.33,245.57,246.1,107575
2015-02-04 14:00:00,246.13,246.53,245.57,245.57,104078
2015-02-04 14:15:00,245.73,246.0,245.67,245.87,153678
2015-02-04 14:30:00,245.87,246.0,245.67,245.87,164168
2015-02-04 14:45:00,245.83,245.97,245.23,245.3,339908
2015-02-04 15:00:00,245.43,245.87,245.3,245.37,450182
2015-02-04 15:15:00,245.37,245.57,243.73,244.53,583822
2015-02-05 09:15:00,243.93,243.93,242.47,243.33,406108
2015-02-05 09:30:00,243.3,245.63,242.93,245.47,543419
2015-02-05 09:45:00,245.47,245.97,244.7,245.17,512560
2015-02-05 10:00:00,245.17,245.5,244.6,244.87,372331
2015-02-05 10:15:00,244.83,245.27,244.6,245.07,272141
2015-02-05 10:30:00,245.0,245.0,244.17,244.67,308537
2015-02-05 10:45:00,244.67,245.27,244.53,245.27,225832
2015-02-05 11:00:00,245.27,245.33,244.83,244.83,160748
2015-02-05 11:15:00,244.87,245.33,244.8,244.83,292120
2015-02-05 11:30:00,244.97,245.23,244.13,244.63,225316
2015-02-05 11:45:00,244.67,244.67,243.73,243.9,287801
2015-02-05 12:00:00,243.9,244.0,243.63,243.83,267346
2015-02-05 12:15:00,243.83,244.67,243.77,244.6,263462
2015-02-05 12:30:00,244.63,245.27,244.47,245.0,400778
2015-02-05 12:45:00,244.97,245.2,244.67,245.07,272944
2015-02-05 13:00:00,245.07,245.73,244.4,245.47,327293
2015-02-05 13:15:00,245.47,247.33,245.47,246.4,990282
2015-02-05 13:30:00,246.4,246.7,245.57,246.67,375771
2015-02-05 13:45:00,246.7,247.0,246.27,246.9,303377
2015-02-05 14:00:00,246.9,247.97,246.77,247.1,451011
2015-02-05 14:15:00,247.03,248.0,247.03,248.0,333255
2015-02-05 14:30:00,247.97,248.07,246.77,246.97,508598
2015-02-05 14:45:00,247.0,247.6,246.1,246.43,326279
2015-02-05 15:00:00,246.43,246.97,245.1,246.2,520750
2015-02-05 15:15:00,246.17,246.67,245.0,245.53,525779
2015-02-06 09:15:00,244.67,247.33,244.67,245.9,587757
2015-02-06 09:30:00,245.9,247.0,245.7,246.9,234939
2015-02-06 09:45:00,246.9,247.1,246.63,246.8,201167
2015-02-06 10:00:00,246.8,248.5,246.7,248.27,701770
2015-02-06 10:15:00,248.17,248.33,248.0,248.23,308503
2015-02-06 10:30:00,248.23,248.57,247.63,247.9,260797
2015-02-06 10:45:00,247.87,248.37,247.4,248.37,185029
2015-02-06 11:00:00,248.53,248.53,247.83,248.27,208241
2015-02-06 11:15:00,248.27,248.4,247.73,247.93,150693
2015-02-06 11:30:00,247.9,248.27,247.43,248.27,225856
2015-02-06 11:45:00,248.27,248.27,247.6,248.23,267254
2015-02-06 12:00:00,248.23,248.27,248.13,248.2,150796
2015-02-06 12:15:00,248.2,248.67,248.13,248.57,254950
2015-02-06 12:30:00,248.6,248.63,248.33,248.57,91621
2015-02-06 12:45:00,248.57,248.67,248.4,248.5,181763
2015-02-06 13:00:00,248.5,248.67,248.37,248.43,153828
2015-02-06 13:15:00,248.47,248.67,248.33,248.57,145542
